Author_name,#Followers,Author Following,Account Created,Verified,Location,Tweet,Length,Likes,Language,Retweets,Time
AadityaMehrotr4,226,1378,13-04-19 6:49,FALSE,"New Delhi, India","@PBLIndiaLive @amazonIN Here is my Screenshot dear team.

#PauseTheGif  #PBL.
#RiseOfTheRacquet 
@PBLIndiaLive 
@amazonIN 
@sameerghazi11 @MyselfSwapnil @RubalSandhu143 @Alpesh_2308 @GauravP26479152 @vandanasehgal3 https://t.co/MvM7FrUvCM","[24, 214]",3,en,2,17-04-21 16:20
markkandan1988,69,132,14-06-10 7:19,FALSE,,"@amazonIN Hi, There is a cheating happens by using Amazon payment loop hole.","[0, 76]",0,en,0,17-04-21 16:20
AadityaMehrotr4,226,1378,13-04-19 6:49,FALSE,"New Delhi, India","RT @PBLIndiaLive: Here's your challenge for the day. 😍

Complete the #contest and send your entries using the hashtags #PauseTheGif and #PB…","[0, 140]",0,en,302,17-04-21 16:19
Ajay37859276,1,27,27-03-21 14:55,FALSE,"Tamil Nadu, India","#IQOO7series  
@IqooInd @amazonIN 

My favorite and i am waiting for this monster series 
iqoo is always unique😍😍😍😍😍😍😍😍😍
my favorite for this iqoo7😍 dual chip 
when its is unique. its world first time launch for this type dual chipset Mobiles

intelligent display chip https://t.co/1m0bdWz7Gh","[0, 268]",0,en,0,17-04-21 16:19
2021Scalper,17,46,03-02-21 17:12,FALSE,,@bhatiamanu @amazonIN @AmazonHelp Waise bhi amazon pe non essential items ban hai.,"[34, 82]",0,en,0,17-04-21 16:19
PKBhatta,3,89,16-12-13 7:32,FALSE,Guwahati,"@amazonIN In almost all the items sold via you, there is a discount of 5% ,if paid by Amazon ICICIBANK Card. I always pay with this card, but never seen the  cashback in my statements . Please look into it","[0, 205]",0,en,0,17-04-21 16:18
pandeyrohit411,13,90,21-01-14 5:51,FALSE,"Sakinaka, Mumbai","@Sen_Sourav1 @CAMitRThakkar @bhatiamanu @amazonIN @AmazonHelp ""using laptop"" clearly likha hai bro, please read before replying. Hope ye pehli baar na suna ho😂","[62, 159]",0,en,0,17-04-21 16:17
preetdhami73,91,1816,29-09-14 12:52,FALSE,,"#AmazonQuiz
#DailyQuizTime

@amazonIN https://t.co/ZhsjuWP4HG","[0, 37]",1,und,1,17-04-21 16:17
theRinkubhai,209,460,11-03-21 13:29,FALSE,,Mobile customers in India experienced fluctuating speeds that can hamper online experience. In his session at #AmazonSmbhav Rajeev Rastogi discussed on new ML model developed by @amazonIN to provide an adaptive experience &amp; enable a better shopping experience. @AmitAgarwal https://t.co/3S9kZlhe28,"[0, 277]",0,en,0,17-04-21 16:13
iGautamniranjan,160,373,11-03-21 14:32,FALSE,,"The practical applications of #machinelearning drive business results which can dramatically affect a company’s bottom line. Thanks for such an elaborative session #RajeevRastogi, VP- ML @amazonIN. #AmazonSmbhav @manish_tiwary #Atmanirbharbharat @PMOIndia https://t.co/pa2mmPhKtH","[0, 255]",1,en,3,17-04-21 16:13
mohitsshukla,627,51,16-11-11 6:52,FALSE,maholi,"RT @amazonIN: Elated to have @neeleshmisra, an Indian journalist, author, radio storyteller, scriptwriter &amp; lyricist, join us across all 4…","[0, 143]",0,en,34,17-04-21 16:12
BhadauriaTejas,117,422,11-03-21 13:30,FALSE,,"Well exhibited session by #RajeevRastogi, VP- ML @amazonIN on the importance of #MachineLearning &amp; how it will positively impact every vertical of Indian Business #MSMEs #AmazonSmbhav @manish_tiwary @minmsme @DIPPGOI #Atmanirbharbharat https://t.co/zLQ1Yk0h7W","[0, 239]",1,en,3,17-04-21 16:12
AnuragSharma902,1,72,06-08-10 8:46,FALSE,"Lucknow, India","RT @AnuragSharma902: @AmazonHelp @amazonIN @AmazonUK @amazon @IndianGov 
Kuchh dino pahle mane amazon se 2 item liya tha likin inhone abhi…","[0, 139]",0,hi,1,17-04-21 16:12
PoddarArchit,995,1533,05-02-10 13:33,FALSE,Optimism,"@amazon  @amazonIN 
Is your collaboration with easysell genuine? 
Can easy sell representatives be trusted in process to get easysell store?? 
They are demanding 10,620/- for a amazon-easysell franchise.","[0, 203]",0,en,0,17-04-21 16:11
AnuragSharma902,1,72,06-08-10 8:46,FALSE,"Lucknow, India","@AmazonHelp @amazonIN @AmazonUK @amazon @IndianGov 
Kuchh dino pahle mane amazon se 2 item liya tha likin inhone abhi tak mera paisa wapas nahi kiya hai or inka seller jhooth bol raha h ki mujhe koi item nahi mila hai.
order#403-1537501-2900313:: 403-6092979-2472355","[0, 266]",0,hi,1,17-04-21 16:11
saurabh_bohra,501,660,12-06-10 13:07,FALSE,"Mumbai, India",After Flipkart - #NeuFarm hit its first 200 UPD in West Region on @amazonIN - #PrimeEffect 🥰Aane Do @novasatum https://t.co/s1bxZUVrDx,"[0, 110]",0,en,0,17-04-21 16:09
Prathme69663945,0,3,16-06-20 16:54,FALSE,,"@amazonIN 
@IqooInd 
#IQOO7series","[0, 33]",0,und,0,17-04-21 16:08
praneeth_12,32,374,16-02-18 14:37,FALSE,India,Hey @amazonIN  i was unable to login into my Amazon account from long time! @AmazonHelp,"[0, 87]",0,en,0,17-04-21 16:08
1fa44f6019614a8,13,211,28-05-15 10:55,FALSE,,@amazonIN i ordered a product and i recieved empty no one is helping me out,"[0, 75]",0,en,0,17-04-21 16:06
Seanfallon,178,920,06-03-09 15:20,FALSE,"Mumbai, India","@kausnikhil @bhatiamanu @amazonIN @AmazonHelp @Flipkart I agree, was about to suggest that!","[56, 91]",0,en,0,17-04-21 16:05
Mahendr30705031,1,68,23-06-20 17:36,FALSE,,@bhatiamanu @amazonIN @AmazonHelp Use others account ...to contact customer care,"[34, 80]",0,en,0,17-04-21 16:01
Ram36398080,1,105,07-01-21 6:26,FALSE,,"RT @bhatiamanu: For some reason unknown to me, My @amazonIN account has been locked as a precaution citing suspicious activity 

Not able t…","[0, 140]",0,en,7,17-04-21 16:00
child7mari,5727,5464,04-09-09 23:54,FALSE,"Twentynine Palms, California",Thalia - The New Generation (Chronicles Of The Maca Book 7) by Mari Collier https://t.co/ssQ4X2ecIC via @amazonIN,"[0, 113]",1,en,0,17-04-21 16:00
JigarVekariya9,144,316,13-12-17 5:47,FALSE,,"RT @bhatiamanu: For some reason unknown to me, My @amazonIN account has been locked as a precaution citing suspicious activity 

Not able t…","[0, 140]",0,en,7,17-04-21 16:00
ShibaniMarandi,5,56,04-08-18 11:59,FALSE,,"FULL CHARGE IN 22 MINS
66W Flash Charge with LARGEST VAPOUR CHAMBER
#IQOO7series #iQOO7Legend5GAmazonQuiz @IqooInd @amazonIN https://t.co/JnecJHj1sj","[0, 124]",0,en,0,17-04-21 15:59
CAMitRThakkar,64,675,08-09-17 9:15,FALSE,"Aurangabad, India","@bhatiamanu @amazonIN @AmazonHelp My suggestion, try resetting using laptop","[34, 75]",2,en,0,17-04-21 15:58
kausnikhil,62,95,07-12-15 7:57,FALSE,"New Delhi, India",@bhatiamanu @amazonIN @AmazonHelp May be use @Flipkart !!,"[34, 57]",4,en,0,17-04-21 15:58
piyushchavan01,28,51,22-06-18 10:30,FALSE,,"@bhatiamanu @amazonIN @AmazonHelp Login into different account. Go in contact us and then use there call back service 

But before that login ur locked account and fill that form 

They will unlock it within 48 hours if you provide them all proofs properly 

Your follower ❤️","[34, 275]",2,en,0,17-04-21 15:57
Guptanaval10,30,68,19-05-10 18:34,FALSE,"Noida, India",@bhatiamanu @amazonIN @AmazonHelp You should try this link https://t.co/9OlhQ9cwgu I also faced same issue in past when my account was hacked,"[34, 141]",1,en,0,17-04-21 15:57
ashwanisn,99,174,29-05-09 2:44,FALSE,"Shahdara, Delhi","RT @bhatiamanu: For some reason unknown to me, My @amazonIN account has been locked as a precaution citing suspicious activity 

Not able t…","[0, 140]",0,en,7,17-04-21 15:57
sigmaiotapi,461,2142,19-02-11 12:27,FALSE,"Gurgaon, India","@imkapilhere @jagograhakjago @IFBAppliances @amazonIN @amazon Perfectly said

The organisations should get thier act together, lest the customers go for the other alternative and they end up sore losers","[62, 202]",0,en,0,17-04-21 15:57
SRISRI2019,13,155,23-09-18 7:25,FALSE,"Bengaluru, India","RT @bhatiamanu: For some reason unknown to me, My @amazonIN account has been locked as a precaution citing suspicious activity 

Not able t…","[0, 140]",0,en,7,17-04-21 15:56
Ansh00999642,0,33,25-03-21 10:40,FALSE,,"My favourite feature in this Monster mobile and beautiful design 
#iQOO7series 
@IqooInd 
@amazonIN https://t.co/iWLc2aImip","[0, 99]",1,en,0,17-04-21 15:56
bhatiamanu,117447,90,17-01-09 23:55,FALSE,mbha.iitk@gmail.com,"For some reason unknown to me, My @amazonIN account has been locked as a precaution citing suspicious activity 

Not able to reach customer care executive as it requires me to login

How do I get it unlocked ? @AmazonHelp","[0, 221]",184,en,7,17-04-21 15:55
SaurabBaraik,1,6,17-03-19 9:24,FALSE,,"@amazonIN website says usb type c to type c cable For oneplus 9r but @OnePlus_IN says type a to type c, can i get free OnePlus 9pro for free for pointing out this mistake on website, i have ordered a 9r by the way, a free 9 pro would awesome @JeffBezos @PeteLau https://t.co/HEv84DjTDP","[0, 261]",0,en,0,17-04-21 15:55
tjadhav1983,13,274,06-02-15 15:35,FALSE,"Nagpur, India",RT @prashan64520376: @DrJitendraSingh @narendramodi @amazonIN #UPSCExtraAttempt ...sir please do justice to all last attempt candidate,"[0, 134]",0,en,35,17-04-21 15:54
marketstodays,8723,63,04-05-12 13:48,FALSE,"Tamil Nadu, India",RT @ETNOWlive: Have rolled out a lot of pieces of digital infra in India over the last few years. Small businesses becoming much more digit…,"[0, 140]",0,en,2,17-04-21 15:52
09guptashivam,15,132,28-09-14 19:33,FALSE,"Indore, India","@adidasoriginals @AdidasIndia_ 
@amazonIN 
Such a pathetic customer service and delivery experience.
Received an empty box of adidas shoes instead of a pair of shoe.
Never gonna beleive adidas and Amazon in future. Tired of responding to emails.
#BoycottAmazon #boycottadidas","[0, 275]",0,en,0,17-04-21 15:52
ashishnayakone,1330,333,06-02-11 0:46,FALSE,New Delhi,"Sorry No Have More Credit on 
my Credit Card 🙄
No New Device Till 01.05.2022 // 👍 // 
@Flipkart @amazonIN 😢
#GoodNight 🙏
#YouTuber @YouTubeIndia
Road to 5OK 🔅🔅🔅🔅🔅

#KeepTheFaith","[0, 177]",12,en,0,17-04-21 15:52
Pooja91213011,0,6,17-04-21 15:42,FALSE,,"@amazonIN @AmazonHelp @JeffBezos You people are doing fraud with customers . very bad just for some amount only .
Let's see how more u earn my by 2k-3k amount 🤔🤔😏😏😏😏😡😡","[0, 167]",0,en,0,17-04-21 15:52
AdillaAzam,7816,130,16-05-10 7:56,TRUE,Malaysia,RT @amazonIN: Do you know the recipe to create a widely loved &amp; appreciated brand that delivers smiles across the world? All you ambitious…,"[0, 143]",0,en,13,17-04-21 15:49
ShieldVoC,17697,98,08-06-19 15:40,FALSE,"Stockholm, Sweden","RT @shivsbssingh: @amazonIN @AmazonHelp @amazon hello amazon team, 
Please help me out , it a worst kind of service I'm experiencing from a…","[0, 140]",0,en,1,17-04-21 15:49
SMalhotraDaily,32,11,08-11-20 7:48,FALSE,,"RT @Euro_Fashions: Micra Printed Brief has an Unique &amp; Vivid Print which is very Attractive and Great to Look at. 
Shop Entire Range @ http…","[0, 144]",0,en,9,17-04-21 15:49
rajashish832,5,23,12-08-15 10:16,FALSE,लक्ष्मी चौक (पश्चिम मुजफ्फरपुर,@amazon @amazonIN @AmazonHelp  please help me Today I Received my Parcel from Amazon Nd That product is not good for me now I want to return but In my Amazon account There order is not shown Then how I will Return that product https://t.co/YocobpEcMW,"[0, 226]",0,en,0,17-04-21 15:48
lonepesticides7,3,17,11-10-20 2:29,FALSE,"Pulwama, Jammu And Kashmir, In",@amazonIN  why Amazon has stopped delivery to Pulwama(J&amp;K) 192301,"[0, 69]",0,en,0,17-04-21 15:47
Me_Krrishh,264,161,23-01-14 18:31,FALSE,Hyderabad,"Prime unna lekapoyna pedda difference em undi 🤷‍♂️🥺 cheppina time ke delivery ivvalekapotunnav, idhikaka 4 products order pedthey 4 different delivery dates istunnav. na bokkalo service 🤦‍♂️ 💦 @amazonIN","[0, 202]",0,en,0,17-04-21 15:47
ShankuBanerjee2,2,24,29-10-20 17:45,FALSE,,Amazing IQOO7 @IqooInd @amazonIN #IQOO7series 🔥🔥🔥🔥🔥 https://t.co/srSP0vrsVX,"[0, 51]",0,en,0,17-04-21 15:47
tv_hydra,4,330,07-04-17 10:24,FALSE,Pimpalner ,"RT @amazonIN: What a spectacular session by @kunalb11 at #AmazonSmbhav on - Understanding Financial Habits To Unlock Consumption.
His insig…","[0, 140]",0,en,10,17-04-21 15:46
RitikRajwar,0,2,24-03-21 1:12,FALSE,,@amazonIN #AmazonPayPospaidQuiz https://t.co/13dkaao6eC,"[0, 31]",0,und,0,17-04-21 15:45
Booombaastic,468,704,09-01-10 12:55,FALSE,Akhand Bharat,"@amazonIN I have neither received
408-9914445-948**** at my place.. Nor I have received the refund post cancellation.. Can u plz DM for full details and help me out","[0, 164]",0,en,0,17-04-21 15:44
RitikRajwar,0,2,24-03-21 1:12,FALSE,,@amazonIN # I hope win this prize https://t.co/ejIfILyIQv,"[0, 33]",0,en,0,17-04-21 15:43
sreedhar_kr,18,97,25-07-13 16:46,FALSE,Bangalore,"RT @naveenahegde: @amazonIN 
I have been ordering items from Amazon fresh. You have been sending people who doesn't speak Kannada. I had a…","[0, 139]",0,en,33,17-04-21 15:40
SaichaitanyaSr1,8,24,17-04-21 14:54,FALSE,Gummaluru,RT @sripadasaichai1: @OnePlus_IN &amp; @amazonIN #amazonmobilelnsider  #OnePlus9Series https://t.co/y6ghgDQVBF,"[0, 110]",0,und,2,17-04-21 15:37
SaichaitanyaSr1,8,24,17-04-21 14:54,FALSE,Gummaluru,RT @sripadasaichai1: @amazonIN &amp; @OnePlus_IN  #amazonmobilelnsider #OnePlus9Series https://t.co/QroQJEYOd2,"[0, 110]",0,und,2,17-04-21 15:36
Maheshg62286561,1,12,29-03-21 2:17,FALSE,,"Need it very much.....
@amazonIN 
@amazonIN 
#Amazon #AmazonQuiz 
#OnePlus9Series 
#OnePlus9seriesAmazonQuiz https://t.co/ywOOJ6FgwW","[0, 108]",1,en,0,17-04-21 15:35
mahaRW_warrior,120,318,12-03-21 15:24,FALSE,Maharashtra ,"RT @MulaMutha: Today is Sawai Madhavrao Peshwa's 246th birth anniversary
The Maratha cultural renaissance began in his time.
A glimpse of h…","[0, 140]",0,en,13,17-04-21 15:34
Marathi_Akshay_,447,1227,29-03-20 16:56,FALSE,🚩शिवरायांच्या महाराष्ट्रात🚩,"@Naren_Reddy23 @Flipkart @amazonIN @amazon Yes all 22 official languages should be added!
@Flipkart @flipkartsupport @amazon @amazonIN @AmazonHelp","[43, 146]",0,en,0,17-04-21 15:32
Maheshg62286561,1,12,29-03-21 2:17,FALSE,,"*I need it very much hope for win.* @amazonIN @amazon @IqooInd 
#Amazon #AmazonQuiz 
#iQOO7Legend5GAmazonQuiz https://t.co/XMRVYEXg45","[0, 109]",0,en,0,17-04-21 15:31
Maheshg62286561,1,12,29-03-21 2:17,FALSE,,"#AmazonTecnoSpark7Quiz
#Amazon #AmazonQuiz #quiz #amazonIN @amazonIN @amazon https://t.co/ZgUHZyMFGH","[0, 76]",1,und,0,17-04-21 15:26
Sk97tweets,333,228,27-01-12 9:45,FALSE,India,"Obviously SD888 and 22 Minute Fast Charging.
Looking Forward to it @IqooInd @amazonIN 
#iQ007Series https://t.co/6b8CFIAAaA","[0, 99]",0,en,0,17-04-21 15:25
ChandanJsp,9,27,29-10-13 7:17,FALSE,"Rourkela Industrial Township,",My favorite choice IQOO7 #iqoolnd #amazonIN  #IQOO7series https://t.co/zCpFNaTyQv,"[0, 57]",0,en,0,17-04-21 15:24
Muzammi88187151,0,42,01-06-19 17:33,FALSE,,@IqooInd @amazonIN Origin OS Ho to buying 💯💯,"[19, 44]",0,en,0,17-04-21 15:24
NaanuVinaya,107,827,09-01-10 17:20,FALSE,"Bengaluru, India","RT @naveenahegde: @amazonIN 
I have been ordering items from Amazon fresh. You have been sending people who doesn't speak Kannada. I had a…","[0, 139]",0,en,33,17-04-21 15:23
ShieldVoC,17697,98,08-06-19 15:40,FALSE,"Stockholm, Sweden","RT @Ankur000111: Hello Team,

As per your mail on 11th April the reimbursement will be credited to my account with in 3- 5 business days bu…","[0, 140]",0,en,1,17-04-21 15:22
Manikan29677809,0,46,01-08-20 15:17,FALSE,,Best feature mobile in Indian market I never seen before like this. my favourite feature is Intelligent chip #IQOO7series @amazonIN @IqooInd https://t.co/kWZtUZF4JN,"[0, 140]",0,en,0,17-04-21 15:22
mahirohit7,408,1017,22-05-11 10:16,FALSE,hyderabad,"@PBLIndiaLive @amazonIN #Contest #PauseTheGif  #PBL. 🏸
Shared 

#RiseOfTheRacquet #ContestAlert","[24, 95]",0,en,0,17-04-21 15:20
BajajSheetal,42,754,26-05-12 17:54,FALSE,,Hello @amazonIN we can't buy disposable masks on your app in Maharashtra. This is an essential item. Please correct it on your app. Thanks.,"[0, 139]",0,en,0,17-04-21 15:20
Himansh47787649,3,20,24-02-21 5:12,FALSE,,"RT @Himansh47787649: @IqooInd 
@amazonIN 
#IQOO7series https://t.co/JCFvr05ggX","[0, 78]",0,und,1,17-04-21 15:19
Himansh47787649,3,20,24-02-21 5:12,FALSE,,"@IqooInd 
@amazonIN 
#IQOO7series https://t.co/JCFvr05ggX","[0, 33]",1,und,1,17-04-21 15:19
ShivamK24889830,6,45,19-03-20 4:44,FALSE,"Bokaro Steel City, India","Favourite Feature.
Largest Vapour Cooling Chamber for
Snapdragon 888.#IQOO7series @IqooInd @amazonIN https://t.co/Ke6H2Sr3r2","[0, 100]",1,en,1,17-04-21 15:18
getmedipesh,6,299,19-02-12 5:58,FALSE,India,@amazonIN pls help me in how to upload products for sell on amazon,"[0, 66]",0,en,0,17-04-21 15:17
IsaacCopenhave3,43,432,23-03-21 19:44,FALSE,,"RT @PBLIndiaLive: Get ready for an exciting #contest coming your way. 🏸 

Participate and stand a chance to win Rs. 500 worth of @amazonIN…","[0, 139]",0,en,76,17-04-21 15:17
blessedkamal,11966,7108,04-11-14 7:20,FALSE,"Jaipur, India","RT @piyushpuri12: @PBLIndiaLive @amazonIN Here's my perfect screenshot entry 😍#PauseTheGif #PBL
#PauseTheGifWithPBL 
#RiseOfTheRacquet Join…","[0, 140]",0,en,2,17-04-21 15:17
Neeraj02545423,3,237,30-06-20 8:14,FALSE,,Did you observe any differences of cover page ???@MHEducation @MHEducationIN @amazonIN https://t.co/niAHNPdmEj,"[0, 86]",0,en,0,17-04-21 15:17
mehul_alian,64,14,18-09-10 19:43,FALSE,"anand,gujarat,India",@amazonIN @AmitAgarwal is Amazon guarantee a myth? I got defective product. Seller is not resolving. 1 Amazon support exe told me 2 wait 4 2 days and another told me that they can’t do anything.. REALLY DISAPPOINTED AND AMAZON’s IMAGE IS SPOILED,"[0, 245]",0,en,0,17-04-21 15:16
HcRevanna,653,357,18-12-14 17:11,FALSE,"Vijaya Nagar, Bengaluru","RT @naveenahegde: @amazonIN 
I have been ordering items from Amazon fresh. You have been sending people who doesn't speak Kannada. I had a…","[0, 139]",0,en,33,17-04-21 15:14
shaynedsouz,1413,1704,04-09-17 20:23,FALSE,,@amazonIN hi is there an issue sith your delivery service? My order got cancelled suddenly grocery orders,"[0, 105]",0,en,0,17-04-21 15:14
kaustubh_tw,0,2,05-01-21 7:11,FALSE,India,"@amazonIN I had placed an order on 16th April and was supposed to get the guaranteed delivery today itself. But today morning my delivery was rescheduled to Monday after reaching the final delivery station. Kindly help me with this situation.  Delivery add. Pincode ,110091 Delhi","[0, 279]",0,en,0,17-04-21 15:13
blessedkamal,11966,7108,04-11-14 7:20,FALSE,"Jaipur, India","RT @PBLIndiaLive: Here's your challenge for the day. 😍

Complete the #contest and send your entries using the hashtags #PauseTheGif and #PB…","[0, 140]",0,en,302,17-04-21 15:13
VijayKu55277709,905,1230,03-05-20 4:43,FALSE,"Bihar, India","RT @Swats26: It is indeed heartening to hear Russell Grandinetti, Sr. VP, Int'l Consumer, @amazon- the world is following India's footsteps…","[0, 140]",0,en,76,17-04-21 15:12
012Anon,23,373,25-05-20 1:13,FALSE,World,Hope 🏁🏎️ Pay(Mobile) me for the advertisement 😉 wish me for advance  @amazonIN @IqooInd #iQOO7Series #IQOO7series https://t.co/PxMHpElocb,"[0, 113]",0,en,0,17-04-21 15:12
imkapilhere,91,118,17-04-11 12:46,FALSE,"Neemrana, India",@jagograhakjago Someone must take ownership of this behaviour and support the helpless consumer.@IFBAppliances @amazonIN @amazon #business https://t.co/LzdrXHoBaj,"[0, 138]",1,en,0,17-04-21 15:12
varshneytrapti9,9,2,31-05-14 17:12,FALSE,,@amazon @amazonIN @AmazonHelp https://t.co/quoZwfoHQW,"[0, 29]",0,und,0,17-04-21 15:10
shivsbssingh,1,58,09-09-13 11:35,FALSE,,"Please help me out sir your customer care team is not responding properly.If i wouldn't get my product,it could cause me a serious helath issue.
@amazon @amazonIN @AmazonHelp 
I'm a prime amazon member sir 
If this is happening to me then i dont know what is case with normal ppls","[0, 280]",0,en,0,17-04-21 15:09
ShivamK24889830,6,45,19-03-20 4:44,FALSE,"Bokaro Steel City, India","RT @ShivamK24889830: New &amp; Favourite feature
Dual chip monster ❤️ #IQOO7series
@IqooInd @amazonIN https://t.co/SB7T0EJruh","[0, 125]",0,en,1,17-04-21 15:08
ShivamK24889830,6,45,19-03-20 4:44,FALSE,"Bokaro Steel City, India","New &amp; Favourite feature
Dual chip monster ❤️ #IQOO7series
@IqooInd @amazonIN https://t.co/SB7T0EJruh","[0, 80]",1,en,1,17-04-21 15:08
chintur314,222,3392,25-08-12 18:47,FALSE,"Hyderabad, India","RT @IqooInd: Experience colors like never before on the 120Hz AMOLED Display.

With 1300nits Brightness and 6000000:1 Contrast Ratio, every…","[0, 140]",0,en,80,17-04-21 15:08
mul_mumbaikar,4948,425,20-08-15 12:57,FALSE,"Toronto, Ontario","@Marathi__ @Flipkart @OdiaFirst @OdiaGuide @IamanODIA @dd_odia @OdiaCulture wish @amazonIN
lose some busniess due to language Discrimination","[76, 140]",3,en,0,17-04-21 15:07
BirjuDamani,808,1203,30-11-11 6:09,FALSE,mumbai,"I played this interesting Quiz on Amazon-Play games at Amazon FunZone  https://t.co/VgKgHTHFfb
@amazonIN  #Carnbikeprotectionquiz
Tagging @deepalidamani @sd12dec @sarikag77 @Moliin4u @PinkyDholakia @blessedkamal @JayshreeMalhot6","[0, 228]",0,en,0,17-04-21 15:05
SenthilPaul,235,1309,12-02-10 18:31,FALSE,"Mississauga, Ontario","RT @KKRiders: Watch @DineshKarthik and @Eoin16 like you've never seen them before, in KKR Films' third production 🎬

Smooth Transition, out…","[0, 140]",0,en,104,17-04-21 15:05
shivsbssingh,1,58,09-09-13 11:35,FALSE,,"@amazonIN @AmazonHelp @amazon hello amazon team, 
Please help me out , it a worst kind of service I'm experiencing from amazon. Your delivery boys are not delivering the product nd I'm getting a msg that it has been delivered. Nd that product is very essential for my health. https://t.co/y0WMciccyo","[0, 275]",0,en,1,17-04-21 15:05
JohnnRhodes,31,808,09-10-19 14:23,FALSE,,@amazonIN @kunalb11 Kunal Sir! Thoda fitness mangta hai life!!!,"[20, 63]",0,en,0,17-04-21 15:05
BhuahanDingane,32,430,05-06-14 9:20,FALSE,"Maharashtra, Kolhapur",Follow @IqooInd @amazonIN https://t.co/eZSGX7qAMn,"[0, 25]",0,en,0,17-04-21 15:03
93nikhilverma,17,46,04-05-14 16:18,FALSE,Delhi,"@amazonIN 
Order #405-5939362-8752360

your team is not helping me with my refund and neither providing refund reference number.

Please help order id is above.","[0, 160]",0,en,0,17-04-21 15:02
Adithya_Bhushan,137,132,06-11-14 2:23,FALSE,"ಹಾಸನ , ಕರ್ನಾಟಕ ","RT @naveenahegde: @amazonIN 
I have been ordering items from Amazon fresh. You have been sending people who doesn't speak Kannada. I had a…","[0, 139]",0,en,33,17-04-21 15:02
BirjuDamani,808,1203,30-11-11 6:09,FALSE,mumbai,"@amazonIN #AmazonQuiz
Tagging @deepalidamani @sd12dec @sarikag77 @Moliin4u @PinkyDholakia @blessedkamal @JayshreeMalhot6 https://t.co/NEy5nToFAK","[0, 120]",1,en,0,17-04-21 15:01
HTTech,11371,192,04-08-15 9:34,TRUE,"New Delhi, India",".@amazonIN also launched Amazon Pay For Business app...

https://t.co/1OpVAXcyss","[0, 80]",3,en,0,17-04-21 15:00
Sanjay0254,2,25,16-07-11 13:41,FALSE,,@SmitSaxena @JeffBezos @AmitAgarwal @AmazonHelp @amazonIN Very disappointed.,"[58, 76]",0,en,0,17-04-21 15:00
DebnathDey11,0,8,19-09-20 4:34,FALSE,,"RT @Arya17411888: @Flipkart 
@amazonIN
@ConsumerCourt_ @consumerforum_ 
@ministryofhome1 
Have a look into this matter
for proofs please co…","[0, 140]",0,en,7,17-04-21 14:59
imIftikharUddin,2140,98,17-10-16 8:47,FALSE,Karak | Islamabad | Mardan,"RT @KKRiders: Watch @DineshKarthik and @Eoin16 like you've never seen them before, in KKR Films' third production 🎬

Smooth Transition, out…","[0, 140]",0,en,104,17-04-21 14:58
KuldeepDevgan1,15,5,10-04-17 4:27,FALSE,"Gurgaon, India",@DCP_CCC_Delhi @Cyberdost @DelhiPolice @TOIIndiaNews @Paytm @ICICIBank_Care @HDFCBank_Cares @PhonePe_ @TheOfficialSBI @bankofbaroda @Flipkart @amazonIN JAI HIND SIR ... 155260 IS A BOON FOR US IN INDIA THESE DAYS ... I HAVE JUST NOW SAVED IT IN MY PHONEBOOKS &amp; SIM !! I SEEK STRONG &amp; SPECIAL POLICE DEPARTMENT'S PERSONNEL OF GURUGRAM POLICE TO SERVE THIS UNIT ... !!!,"[152, 375]",1,en,0,17-04-21 14:57
KuldeepDevgan1,15,5,10-04-17 4:27,FALSE,"Gurgaon, India",@DCP_CCC_Delhi @Cyberdost @TheOfficialSBI @ICICIBank_Care @HDFCBank_Cares @KotakBankLtd @bankofbaroda @Paytm @PhonePe_ @NPCI_BHIM @Flipkart @amazonIN JAI HIND SIR ... 155260 IS A BOON FOR US IN INDIA THESE DAYS ... I HAVE JUST NOW SAVED IT IN MY PHONEBOOKS &amp; SIM !! I SEEK STRONG &amp; SPECIAL POLICE DEPARTMENT'S PERSONNEL OF GURUGRAM POLICE TO SERVE THIS UNIT ... !!!,"[150, 373]",1,en,0,17-04-21 14:57
TheRKOjha,194,231,27-10-16 6:26,FALSE,"Noida, India","Order is appearing delivered on our portal thn u sud find urself. We can't do anything( I have all the call recordings). @amazonIN
@jagograhakjago @PiyushGoyal @smritiirani @aajtak @ZeeNews @ABPNews @SudarshanNewsTV @indiatvnews @news24tvchannel @TV9Bharatvarsh @Republic_Bharat https://t.co/Z4Ml9ZvlQh","[0, 278]",0,en,0,17-04-21 14:57
service_fc,669,4138,15-05-20 10:00,FALSE,,RT @pranjalbadole: @service_fc @AmazonHelp @Swamy39 Support plz bro abhi tk kuch hua ni hai processing bolke 4-5 din hogye koi reply ni aay…,"[0, 140]",0,tl,1,17-04-21 14:57
Ankichawlaa,3,89,30-07-17 8:52,FALSE,"karnal, India","Hello Team,

As per your mail on 11th April the reimbursement will be credited to my account with in 3- 5 business days but still the amount is not credited yet. So please process it ASAP. @AmitAgarwal @mygovindia @AmazonHelp @amazonIN https://t.co/PRrST7HgRn","[0, 235]",1,en,1,17-04-21 14:56
KishorePwr,42,187,05-03-16 11:54,FALSE,"Pune, India","Hi @GeM_India, e-commerce player @amazonIN still not adhering to law despite of tiny fine last year. No country of origin mentioned for chinese products. Instead of fine, ban them for a week if they do not understand warnings.

@PMOIndia

https://t.co/Mxm9m66duW https://t.co/iflfJEWo4B","[0, 262]",1,en,0,17-04-21 14:56
